LN = -7.64996; L2 = -0.153627
LN = -7.64996; L2 = -0.153627
LN = -7.65141; L2 = -0.152716
LN = -7.65141; L2 = -0.152716
LN = -7.68914; L2 = -0.154812
LN = -7.68914; L2 = -0.154812
LN = -7.69266; L2 = -0.155939
LN = -7.69266; L2 = -0.155939
LN = -7.69337; L2 = -0.148213
LN = -7.69337; L2 = -0.148213
LN = -7.82945; L2 = -0.135158
LN = -7.82945; L2 = -0.135158
LN = -7.89026; L2 = -0.135739
LN = -7.89026; L2 = -0.135739
LN = -8.1351; L2 = -0.14779
LN = -8.1351; L2 = -0.14779
LN = -8.14855; L2 = -0.135717
LN = -8.1351; L2 = -0.14779
LN = -8.1031; L2 = -0.203176
LN = -8.1031; L2 = -0.203176
LN = -8.10242; L2 = -0.231497
LN = -8.10242; L2 = -0.231497
LN = -8.1015; L2 = -0.154308
LN = -8.10242; L2 = -0.231497
LN = -8.10587; L2 = -0.230549
LN = -8.10587; L2 = -0.230549
LN = -8.12357; L2 = -0.201811
LN = -8.12357; L2 = -0.201811
LN = -8.11699; L2 = -0.209334
LN = -8.11699; L2 = -0.209334
LN = -8.11801; L2 = -0.184304
LN = -8.11699; L2 = -0.209334
LN = -8.07581; L2 = -0.184082
LN = -8.07581; L2 = -0.184082
LN = -8.09318; L2 = -0.168076
LN = -8.09318; L2 = -0.168076
LN = -8.13321; L2 = -0.176311
LN = -8.13321; L2 = -0.176311
LN = -8.15033; L2 = -0.179115
LN = -8.15033; L2 = -0.179115
LN = -8.16951; L2 = -0.17563
LN = -8.16951; L2 = -0.17563
LN = -8.17315; L2 = -0.144811
LN = -8.16951; L2 = -0.17563
LN = -8.16968; L2 = -0.189298
LN = -8.16968; L2 = -0.189298
LN = -8.16658; L2 = -0.150876
LN = -8.16658; L2 = -0.150876
LN = -8.2028; L2 = -0.12774
LN = -8.2028; L2 = -0.12774
LN = -8.20388; L2 = -0.129454
LN = -8.20388; L2 = -0.129454
LN = -8.20366; L2 = -0.129662
LN = -8.20366; L2 = -0.129662
LN = -7.00692; L2 = -0.13021
LN = -7.00692; L2 = -0.13021
LN = -7.00916; L2 = -0.124311
LN = -7.00916; L2 = -0.124311
LN = -7.00632; L2 = -0.122683
LN = -7.00632; L2 = -0.122683
LN = -7.00904; L2 = -0.126866
LN = -7.00904; L2 = -0.126866
LN = -7.06012; L2 = -0.125554
LN = -7.06012; L2 = -0.125554
LN = -7.0521; L2 = -0.126328
LN = -7.0521; L2 = -0.126328
LN = -7.11576; L2 = -0.125629
LN = -7.0521; L2 = -0.126328
LN = -7.03184; L2 = -0.126851
LN = -7.03184; L2 = -0.126851
LN = -7.00958; L2 = -0.130879
LN = -7.00958; L2 = -0.130879
LN = -7.00043; L2 = -0.130872
LN = -7.00043; L2 = -0.130872
LN = -6.99228; L2 = -0.152758
LN = -6.99228; L2 = -0.152758
LN = -7.71585; L2 = -0.16427
LN = -7.71585; L2 = -0.16427
LN = -7.88459; L2 = -0.167035
LN = -7.88459; L2 = -0.167035
LN = -7.8846; L2 = -0.164473
LN = -7.8846; L2 = -0.164473
LN = -8.00267; L2 = -0.121025
LN = -8.00267; L2 = -0.121025
LN = -7.45284; L2 = -0.125149
LN = -7.45284; L2 = -0.125149
LN = -7.45285; L2 = -0.081177
LN = -7.45284; L2 = -0.125149
