Iteration CurSyncRatio NextSyncRatio
844 36.7001 35.228
845 35.228 36.8312
846 36.8312 42.6367
847 36.8312 37.4785
848 36.8312 38.2864
849 36.8312 36.5409
850 36.5409 51.1106
851 36.5409 38.3538
852 36.5409 42.3748
853 36.5409 38.0799
854 38.0799 37.8348
855 37.8348 39.4976
856 37.8348 49.0734
857 37.8348 50.2408
858 37.8348 41.2046
859 37.8348 32.8139
860 32.8139 34.425
861 34.425 34.5112
862 34.5112 34.8677
863 34.5112 34.2099
864 34.2099 33.6756
865 33.6756 35.9165
866 33.6756 34.3311
867 34.3311 32.9208
868 32.9208 32.6219
869 32.6219 32.9292
870 32.9292 32.7291
871 32.7291 41.242
872 32.7291 44.4749
873 32.7291 35.1478
874 32.7291 35.8801
875 32.7291 36.9776
876 32.7291 32.7083
877 32.7083 49.4281
878 32.7083 50.0033
879 32.7083 34.823
880 34.823 36.2459
881 36.2459 39.1344
882 36.2459 36.248
883 36.248 36.1318
884 36.1318 35.6208
885 35.6208 43.2457
886 35.6208 45.2654
887 35.6208 35.2966
888 35.2966 39.7962
889 35.2966 46.3439
890 35.2966 35.028
891 35.028 43.3928
892 35.028 35.4831
893 35.4831 35.7269
894 35.7269 40.5786
895 35.7269 34.3149
896 34.3149 46.4009
897 34.3149 45.5904
898 34.3149 39.4387
899 34.3149 33.2061
900 33.2061 32.7246
901 32.7246 35.2339
902 35.2339 35.4415
903 35.4415 37.2892
904 35.4415 37.6066
905 35.4415 38.4534
906 38.4534 66.4937
907 38.4534 39.0814
908 38.4534 38.0946
909 38.0946 37.1676
910 37.1676 37.9147
911 37.1676 38.0109
912 38.0109 40.1805
913 38.0109 44.4621
914 38.0109 43.046
915 38.0109 38.6094
916 38.6094 66.1118
917 38.6094 66.6893
918 38.6094 37.9561
919 37.9561 48.9855
920 37.9561 45.3277
921 37.9561 37.6817
922 37.6817 39.2032
923 37.6817 54.3023
924 37.6817 36.7682
925 36.7682 39.1846
926 36.7682 42.8147
927 36.7682 47.6598
928 36.7682 36.4084
929 36.4084 36.2364
930 36.2364 44.7097
931 36.2364 36.3919
932 36.3919 40.2205
933 36.3919 47.9448
934 36.3919 33.8715
935 33.8715 34.6613
936 33.8715 34.7488
937 34.7488 33.5203
938 33.5203 31.9532
939 31.9532 31.8023
940 31.8023 31.4058
941 31.4058 31.0165
942 31.0165 34.7135
943 31.0165 33.5296
944 31.0165 35.3535
945 31.0165 40.4312
946 31.0165 32.313
947 31.0165 31.1358
948 31.1358 31.8595
949 31.8595 43.6537
950 31.8595 39.8751
951 31.8595 60.5311
952 31.8595 32.1341
953 31.8595 35.3654
954 31.8595 36.2371
955 31.8595 31.6383
956 31.6383 33.9959
957 31.6383 33.9525
958 31.6383 36.2837
959 31.6383 31.3175
960 31.3175 31.9709
961 31.3175 32.2489
962 31.3175 53.9694
963 31.3175 31.6217
964 31.6217 38.058
965 31.6217 32.0324
966 31.6217 33.945
967 31.6217 32.2486
968 32.2486 38.0598
969 32.2486 38.2493
970 32.2486 37.3559
971 32.2486 41.0245
972 32.2486 34.4638
973 32.2486 32.5496
974 32.2486 32.4054
975 32.4054 35.6087
976 32.4054 32.2807
977 32.2807 37.4097
978 32.2807 31.8151
979 31.8151 39.8492
980 31.8151 32.7915
981 31.8151 38.3268
982 31.8151 32.433
983 32.433 32.5765
984 32.5765 32.4745
985 32.4745 56.823
986 32.4745 31.487
987 31.487 38.0567
988 31.487 35.6368
989 31.487 34.0748
990 31.487 32.4686
991 31.487 37.255
992 31.487 33.7531
993 31.487 31.8214
994 31.8214 33.6843
995 31.8214 36.3256
996 31.8214 33.78
997 31.8214 31.0318
998 31.0318 29.6285
999 29.6285 30.7798
1000 29.6285 32.2843
1001 29.6285 29.9256
1002 29.9256 40.7562
1003 29.9256 36.516
1004 29.9256 46.4711
1005 29.9256 34.9476
1006 29.9256 29.567
1007 29.567 60.9762
1008 29.567 29.474
1009 29.474 31.214
1010 29.474 29.68
1011 29.68 39.7945
1012 29.68 31.8284
1013 29.68 30.9262
1014 29.68 29.0096
1015 29.0096 32.6695
1016 29.0096 28.9974
1017 28.9974 33.7968
1018 28.9974 29.4041
1019 29.4041 38.6496
1020 29.4041 38.3493
1021 29.4041 32.1422
1022 29.4041 29.9627
1023 29.9627 30.6164
1024 29.9627 32.0877
1025 29.9627 33.8961
1026 29.9627 34.4866
1027 29.9627 37.3219
1028 29.9627 29.4376
1029 29.4376 34.7766
1030 29.4376 30.3332
1031 29.4376 39.7266
1032 29.4376 30.3921
1033 29.4376 29.23
1034 29.23 50.2361
1035 29.23 32.7244
1036 29.23 49.19
1037 29.23 37.3608
1038 29.23 29.4519
1039 29.4519 27.7656
1040 27.7656 28.7362
1041 27.7656 30.6593
1042 27.7656 27.8884
1043 27.8884 33.6762
1044 27.8884 34.8656
1045 27.8884 29.2812
1046 27.8884 29.7861
1047 27.8884 28.194
1048 27.8884 27.3647
1049 27.3647 27.4808
1050 27.4808 30.084
1051 27.4808 29.9742
1052 27.4808 31.2958
1053 27.4808 28.2673
1054 27.4808 28.0782
1055 27.4808 28.7691
1056 27.4808 30.1537
1057 27.4808 26.5396
1058 26.5396 28.7451
1059 26.5396 26.8685
1060 26.5396 27.7605
1061 26.5396 28.2291
1062 26.5396 26.8537
1063 26.8537 26.6849
1064 26.6849 28.7567
1065 26.6849 46.1942
1066 26.6849 25.9216
1067 25.9216 51.1627
1068 25.9216 25.6922
1069 25.6922 32.5894
1070 25.6922 28.0374
1071 25.6922 31.8852
1072 25.6922 29.1607
1073 25.6922 26.0704
1074 25.6922 30.9241
1075 25.6922 25.9924
1076 25.9924 26.8866
1077 25.9924 41.9688
1078 25.9924 31.9684
1079 25.9924 27.9907
1080 25.9924 29.0568
1081 25.9924 26.1046
1082 26.1046 33.3848
1083 26.1046 28.497
1084 26.1046 32.8061
1085 26.1046 43.2133
1086 26.1046 32.6531
1087 26.1046 40.6758
1088 26.1046 35.8501
1089 26.1046 26.3019
1090 26.3019 44.911
1091 26.3019 33.6607
1092 26.3019 25.7872
1093 25.7872 30.1327
1094 25.7872 28.6075
1095 25.7872 30.2233
1096 25.7872 28.5937
1097 25.7872 29.5489
1098 25.7872 31.1398
1099 25.7872 29.1192
1100 25.7872 27.0919
1101 27.0919 41.0449
1102 27.0919 29.1251
1103 27.0919 44.3528
1104 27.0919 29.4301
1105 27.0919 27.4256
1106 27.0919 28.163
1107 27.0919 37.5612
1108 27.0919 28.9789
1109 27.0919 38.2493
1110 27.0919 43.2951
1111 27.0919 36.9552
1112 27.0919 31.4783
1113 27.0919 30.5202
1114 27.0919 36.6456
1115 27.0919 37.7584
1116 27.0919 31.4658
1117 27.0919 38.9644
